"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.623886145E0,2.259999961E-1,8.500000089E-2,1.270000041E-1
1.628848376E0,3.860000074E-1,5.900000036E-2,1.400000006E-1
1.633810453E0,4.499999881E-1,4.699999839E-2,2.610000074E-1
1.638772712E0,2.269999981E-1,7.000000030E-2,-2.300000004E-2
1.643735097E0,1.410000026E-1,9.600000083E-2,-1.319999993E-1
1.648697251E0,1.110000014E-1,5.499999970E-2,-3.089999855E-1
1.653659395E0,2.500000037E-2,5.499999970E-2,-3.230000138E-1
1.658621856E0,-4.199999943E-2,-1.700000092E-2,-2.249999940E-1
1.663584015E0,-1.959999949E-1,-1.400000006E-1,-1.299999952E-1
1.668546169E0,-3.370000124E-1,-1.930000037E-1,-4.899999872E-2
1.673508323E0,-4.230000079E-1,-3.009999990E-1,3.000000026E-3
1.678470496E0,-3.729999959E-1,-2.689999938E-1,8.999999613E-3
1.683432727E0,-4.280000031E-1,-1.700000018E-1,2.099999972E-2
1.688395111E0,-1.449999958E-1,-1.959999949E-1,-3.299999982E-2
1.693357251E0,5.700000003E-2,-1.659999937E-1,1.280000061E-1
1.698319405E0,-5.000000075E-2,-7.500000298E-2,8.299999684E-2
1.703281650E0,-1.049999967E-1,-1.799999923E-2,1.350000054E-1
1.708243804E0,3.000000026E-3,9.200000018E-2,1.200000010E-2
1.713205957E0,1.930000037E-1,9.399999678E-2,6.499999762E-2
1.718168352E0,8.900000155E-2,1.299999952E-1,5.299999937E-2
1.723130506E0,2.360000014E-1,2.399999946E-1,7.999999821E-2
1.728092737E0,1.790000051E-1,2.300000004E-2,7.900000364E-2
1.733054862E0,8.200000226E-2,9.999999776E-3,1.330000013E-1
1.738017015E0,-2.700000070E-2,-9.999999776E-3,1.840000004E-1
1.742979385E0,-1.239999980E-1,-3.599999845E-2,1.999999955E-2
1.747941539E0,-2.070000023E-1,4.999999888E-3,-7.500000298E-2
1.752903693E0,-1.940000057E-1,-1.159999967E-1,-1.999999955E-2
1.757865939E0,-2.339999974E-1,-2.999999933E-2,4.600000009E-2
1.762828323E0,-3.569999933E-1,-1.110000014E-1,8.600000292E-2
1.767790246E0,-3.330000043E-1,-4.300000146E-2,1.949999928E-1
1.772752601E0,-3.359999955E-1,-2.060000002E-1,2.220000029E-1
1.777714832E0,-1.270000041E-1,-8.600000292E-2,2.440000027E-1
1.782677005E0,-2.520000041E-1,-4.500000179E-2,2.300000042E-1
1.787639158E0,-1.319999993E-1,-6.000000052E-3,1.630000025E-1
1.792601543E0,-2.020000070E-1,8.500000089E-2,1.230000034E-1
1.797563712E0,-1.780000031E-1,-5.000000075E-2,-2.500000037E-2
1.802525866E0,-5.600000173E-2,-6.700000167E-2,-1.599999964E-1
1.807488096E0,-4.000000190E-3,1.059999987E-1,-1.309999973E-1
1.812450240E0,8.900000155E-2,1.979999989E-1,-2.389999926E-1
1.817412625E0,7.199999690E-2,1.850000024E-1,-4.440000057E-1
1.822374731E0,8.399999887E-2,2.630000114E-1,-6.589999795E-1
1.827336885E0,1.790000051E-1,7.100000232E-2,-7.810000181E-1
1.832299346E0,4.100000113E-2,1.529999971E-1,-9.039999843E-1
1.837261500E0,2.700000070E-2,1.899999939E-2,-8.510000110E-1
1.842223654E0,-4.399999976E-2,-1.420000046E-1,-7.289999723E-1
1.847185885E0,-1.319999993E-1,-2.039999962E-1,-3.919999897E-1
1.852148029E0,-2.479999959E-1,-3.740000129E-1,-1.110000014E-1
1.857110182E0,-4.830000103E-1,-2.720000148E-1,3.230000138E-1
1.862072553E0,-8.009999990E-1,-4.779999852E-1,2.080000043E-1
1.867034784E0,-2.639999986E-1,-6.330000162E-1,4.609999955E-1
1.871996861E0,-2.189999968E-1,-5.279999971E-1,9.869999886E-1
1.876959082E0,-2.540000081E-1,-5.730000138E-1,1.294999957E0
1.881921235E0,-8.299999684E-2,-4.830000103E-1,1.508999944E0
1.886883389E0,-4.000000190E-3,-5.049999952E-1,1.559999943E0
1.891845784E0,1.700000018E-1,-3.930000067E-1,1.598999977E0
1.896807938E0,4.020000100E-1,-2.160000056E-1,1.409000039E0
1.901770169E0,4.169999957E-1,-1.500000060E-1,1.205999970E0
1.906732553E0,4.059999883E-1,1.150000021E-1,8.820000291E-1
1.911694476E0,5.189999938E-1,2.029999942E-1,3.140000105E-1
1.916656827E0,2.590000033E-1,2.939999998E-1,-1.340000033E-1
1.921619058E0,2.049999982E-1,2.409999967E-1,-5.090000033E-1
1.926581212E0,2.899999917E-2,4.760000110E-1,-8.579999804E-1
1.931543317E0,-7.800000161E-2,3.160000145E-1,-1.098000050E0
1.936505702E0,-1.459999979E-1,3.219999969E-1,-1.312000036E0
1.941467899E0,-2.160000056E-1,3.149999976E-1,-1.348999977E0
1.946430053E0,-3.810000122E-1,2.430000007E-1,-1.279000044E0
1.951392284E0,-3.840000033E-1,2.140000015E-1,-1.101999998E0
1.956354447E0,-3.880000114E-1,2.000000030E-1,-9.520000219E-1
1.961316832E0,-3.779999912E-1,5.200000107E-2,-8.439999819E-1
1.966278986E0,-2.450000048E-1,1.400000043E-2,-6.549999714E-1
1.971241116E0,-1.400000006E-1,5.799999833E-2,-3.300000131E-1
1.976203347E0,-7.100000232E-2,-7.299999893E-2,-1.550000012E-1
1.981165514E0,1.999999955E-2,-6.899999827E-2,1.679999977E-1
1.986127668E0,1.369999945E-1,-1.199999973E-1,3.569999933E-1
1.991090053E0,1.729999930E-1,-1.580000073E-1,3.959999979E-1
1.996052275E0,1.969999969E-1,-2.240000069E-1,6.940000057E-1
2.001014352E0,1.700000092E-2,-3.179999888E-1,6.250000000E-1
2.005976582E0,-9.300000221E-2,-2.910000086E-1,6.529999971E-1
